ConstCom,TimelyInf,TaskMgm,DeviceSt,Wellness,Athlete,Style,AmznP,Female,Degree,Income,Age
5,6,3,3,4,3,3,0,1,1,2,42
4,4,2,4,5,6,4,1,1,1,3,24
5,5,6,4,7,5,7,0,1,2,4,25
5,5,3,3,4,4,3,0,0,1,2,36
3,2,2,2,3,3,4,0,1,1,2,46
3,1,2,1,3,4,3,1,1,1,2,36
7,7,3,3,3,2,4,0,1,1,3,40
4,4,3,3,3,2,4,1,0,1,3,41
5,5,4,4,6,5,5,0,1,2,4,33
6,5,6,4,7,5,7,1,1,2,3,35
6,5,6,4,7,4,5,1,1,2,5,34
5,5,5,4,6,5,6,0,1,1,3,28
6,5,3,3,6,6,6,1,1,1,2,28
3,2,2,3,5,7,4,1,0,1,4,25
5,5,4,4,6,5,7,1,0,1,5,26
5,6,4,5,2,2,4,0,1,2,3,40
5,5,6,4,6,5,6,0,0,1,3,31
5,4,5,5,5,4,3,1,0,2,5,35
5,5,6,4,7,5,7,1,1,2,3,32
7,7,6,7,6,4,3,0,0,2,3,39
7,3,3,4,4,4,3,1,0,1,3,41
5,5,2,4,5,6,4,1,0,1,3,30
4,4,3,1,3,3,4,1,1,1,3,41
7,4,6,4,7,5,7,1,1,2,5,25
5,5,5,4,7,5,7,1,0,2,5,32
6,6,3,5,2,1,3,1,0,1,3,39
4,4,2,3,6,6,4,1,1,1,3,29
3,6,6,3,4,4,5,0,1,1,2,26
5,5,6,4,6,4,7,1,1,2,3,29
7,4,3,3,4,4,4,0,1,1,3,41
5,4,6,4,6,4,5,0,0,2,5,31
2,3,3,3,4,4,4,0,1,1,3,40
3,3,2,7,5,7,4,1,0,1,1,28
3,3,2,7,6,6,4,1,0,1,3,25
4,1,3,1,4,4,3,0,1,1,3,41
6,4,6,4,7,4,5,1,0,2,4,28
7,5,6,4,7,5,5,1,1,2,3,35
6,1,6,4,7,4,6,1,0,2,5,29
4,4,4,1,3,3,4,1,0,1,4,39
6,4,3,3,4,3,5,1,0,1,4,41
6,4,6,4,7,4,7,1,0,2,4,31
3,4,3,5,3,3,4,0,1,2,4,40
1,6,1,3,3,4,3,0,0,1,2,32
5,1,6,4,5,5,6,0,1,2,3,32
4,7,3,2,3,3,3,0,1,1,2,38
4,6,3,3,4,4,3,0,1,1,3,32
3,7,3,7,3,2,4,0,0,2,3,38
4,2,3,2,3,2,4,0,0,1,3,39
4,5,4,5,6,5,4,1,1,2,3,40
5,4,4,4,3,2,3,0,0,2,3,35
4,7,4,5,5,4,4,0,1,2,5,44
4,3,4,1,3,3,4,0,0,1,4,39
4,3,4,6,5,6,4,1,1,1,3,28
6,4,5,4,6,3,4,1,0,2,3,38
7,5,5,4,7,5,6,1,0,2,4,33
7,5,3,4,4,2,3,0,1,2,4,39
4,4,2,5,5,7,6,1,1,1,5,25
5,7,6,6,5,2,3,0,0,2,4,37
4,6,6,3,5,5,4,0,1,2,2,31
7,5,6,4,7,4,6,1,1,2,5,33
4,5,3,2,3,2,4,1,0,1,3,41
1,3,3,3,3,4,4,0,1,1,2,39
5,7,6,7,2,1,3,1,0,2,3,38
7,4,5,6,5,7,4,1,1,1,4,24
6,4,3,3,6,3,4,1,0,1,3,32
1,3,3,3,3,4,4,1,0,1,3,39
5,5,6,4,7,4,6,1,1,2,3,25
4,4,3,4,3,3,3,0,0,1,2,40
4,7,6,7,5,3,3,1,0,2,3,42
6,3,3,1,4,4,3,0,0,1,3,39
5,3,6,4,7,4,4,1,0,2,3,27
3,5,5,4,7,5,7,1,0,2,4,32
3,2,3,3,3,4,3,0,0,1,3,40
7,3,4,5,5,7,4,1,0,1,5,27
5,4,3,2,3,2,4,0,0,1,2,41
6,5,6,2,5,5,4,0,1,1,3,26
4,4,6,4,4,5,5,0,1,1,2,31
7,6,6,4,2,1,4,0,1,2,4,37
4,3,3,1,4,4,4,0,1,1,1,42
5,7,6,7,1,1,4,0,1,2,3,36
1,1,1,4,1,2,4,0,0,1,3,39
5,5,5,5,5,7,4,1,1,1,5,31
4,4,3,2,3,2,4,0,0,1,4,41
5,7,3,7,5,6,4,1,1,1,2,29
3,2,1,1,1,3,3,1,1,1,1,43
5,4,4,4,2,3,4,0,1,1,3,40
4,3,4,3,5,3,3,0,0,1,2,34
6,4,2,3,5,3,2,1,0,1,3,34
6,5,7,4,7,4,6,1,0,2,3,32
7,5,7,4,7,4,6,1,1,2,5,35
1,1,1,2,3,4,4,0,0,1,2,34
5,4,4,4,4,3,4,1,1,2,3,36
3,1,1,1,3,3,4,1,1,1,3,33
2,2,3,5,1,2,4,1,1,1,3,41
4,4,1,4,3,2,4,0,1,1,3,42
5,5,6,4,7,5,6,1,0,2,4,36
4,4,1,3,3,3,4,0,1,1,4,35
5,4,7,4,7,4,5,1,0,1,5,37
4,5,2,7,5,6,6,1,0,2,5,24
4,4,4,6,4,3,4,0,1,2,3,44
4,3,3,1,3,3,4,1,0,1,3,46
7,6,6,4,5,4,3,1,1,2,4,30
7,5,7,5,3,4,3,1,0,2,4,44
4,4,3,2,4,3,3,0,1,1,2,41
6,6,3,1,3,2,4,1,0,1,3,41
4,4,4,5,5,6,6,1,0,1,2,30
3,1,4,1,4,3,3,0,0,1,3,34
4,4,3,2,2,1,3,1,0,1,4,44
4,4,5,5,4,3,4,1,1,2,3,35
5,5,4,7,6,5,6,1,1,2,5,37
5,5,7,6,4,3,3,0,0,2,3,42
5,4,7,7,7,4,7,1,1,2,3,32
7,7,7,6,3,2,3,1,0,2,5,34
4,4,5,6,4,4,3,1,0,2,5,38
